"match_id","date","team1","team2","venue","toss_winner","toss_decision","powerplay_runs","death_overs_runs","toss_win_helped","outcome_label","head_to_head_win_pct"
"412700","2010-05-11","West Indies","Australia","Beausejour Stadium, Gros Islet","West Indies","bat","34","14",0,0,"50.00"
"1142503","2018-06-16","Ireland","Scotland","Sportpark Het Schootsveld","Ireland","bat","63","38",1,1,"75.00"
"1182644","2019-05-05","Sierra Leone","Uganda","Old Hararians","Uganda","bat","28","28",0,1,NULL
"351694","2009-01-11","Australia","South Africa","Melbourne Cricket Ground","Australia","bat","66","28",1,1,"50.00"
"258463","2007-06-28","England","West Indies","Kennington Oval","West Indies","bat","66","38",0,1,NULL
"533284","2012-09-27","Sri Lanka","New Zealand","Pallekele International Cricket Stadium","New Zealand","bat","53","33",1,0,"66.67"
"1199525","2019-10-24","Netherlands","Papua New Guinea","ICC Academy","Netherlands","bat","37","44",0,0,"0.00"
"1199516","2019-10-21","Canada","Nigeria","Sheikh Zayed Stadium","Canada","bat","41","49",1,1,NULL
"648681","2014-03-12","South Africa","Australia","Kingsmead","Australia","field","75",NULL,1,0,"44.44"
"211048","2005-02-17","New Zealand","Australia","Eden Park","Australia","bat","54","67",0,1,NULL
"668515","2013-10-31","South Africa","Sri Lanka","Senwes Park","South Africa","field","26","24",0,0,"40.00"
"1172507","2019-02-15","Oman","Netherlands","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Netherlands","field","27","45",1,0,"100.00"
"287857","2007-09-13","Bangladesh","West Indies","New Wanderers Stadium","Bangladesh","field","38","58",0,0,NULL
"1145894","2018-06-28","Ireland","Bangladesh","YMCA Cricket Club","Bangladesh","field","37","29",1,0,"80.00"
"698983","2014-01-19","Pakistan","South Africa","West End Park International Cricket Stadium","Pakistan","field","25","14",0,0,"30.00"
"531635","2012-02-23","England","Pakistan","Dubai International Cricket Stadium","England","field","49","35",1,1,"14.29"
"1173056","2020-02-27","India","New Zealand","Junction Oval","New Zealand","field","49","28",0,1,"71.43"
"894293","2015-08-09","Zimbabwe","New Zealand","Harare Sports Club","Zimbabwe","field","41","56",1,1,"60.00"
"951329","2016-03-15","India","New Zealand","Vidarbha Cricket Association Stadium, Jamtha","New Zealand","bat","22","36",0,1,"100.00"
"1229207","2020-08-14","Germany","Austria","Seebarn Cricket Centre","Germany","bat","51","35",1,1,"100.00"
"951369","2016-03-30","England","New Zealand","Feroz Shah Kotla","England","field","44","20",0,0,"37.50"
"683009","2014-04-02","India","Pakistan","Sylhet Stadium","India","bat","23","31",1,1,"44.44"
"1150545","2018-11-15","India","Ireland","Providence Stadium","Ireland","field","44","27",0,1,"66.67"
"1172930","2019-02-27","Thailand","United Arab Emirates","Asian Institute of Technology Ground","Thailand","bat","23","32",1,1,"100.00"
"966373","2016-02-04","United Arab Emirates","Scotland","ICC Academy","United Arab Emirates","bat","33","32",1,1,"100.00"
"1158349","2018-08-21","Mozambique","Lesotho","Botswana Cricket Association Oval 2","Lesotho","field","57","33",0,1,NULL
"1197066","2019-09-07","Scotland","Netherlands","Lochlands","Netherlands","field","37","35",0,1,"58.33"
"668517","2013-11-02","South Africa","Sri Lanka","Senwes Park","South Africa","field","52","24",1,1,"33.33"
"1083450","2017-04-06","Sri Lanka","Bangladesh","R Premadasa Stadium","Bangladesh","bat","69","37",0,1,"25.00"
"1150538","2018-11-11","Ireland","Australia","Providence Stadium","Ireland","bat","24","37",1,1,"100.00"
"356007","2009-06-13","South Africa","West Indies","Kennington Oval","West Indies","field","63","32",0,1,"0.00"
"682957","2014-04-01","Bangladesh","Australia","Shere Bangla National Stadium","Bangladesh","bat","42","30",0,0,"50.00"
"1197051","2019-09-01","Namibia","Thailand","Forthill","Thailand","bat","17","30",0,1,NULL
"1031433","2017-06-23","England","South Africa","County Ground","England","field","47","38",1,1,"45.00"
"1199520","2019-10-23","Bermuda","Namibia","ICC Academy Ground No 2","Namibia","field","27","27",1,0,NULL
"951331","2016-03-16","England","West Indies","Wankhede Stadium","West Indies","field","57","54",1,0,"55.56"
"693437","2014-09-07","England","South Africa","Edgbaston","South Africa","field","39","30",0,1,"38.46"
"1197057","2019-09-03","Scotland","Bangladesh","Forthill","Scotland","field","32","5",1,1,"0.00"
"551594","2012-09-10","England","West Indies","Old Trafford","West Indies","field","40","28",0,1,"44.44"
"951313","2016-03-10","Scotland","Zimbabwe","Vidarbha Cricket Association Stadium, Jamtha","Zimbabwe","bat","34","33",0,1,NULL
"1158352","2018-08-23","Botswana","Sierra Leone","Botswana Cricket Association Oval 1","Sierra Leone","field","38","22",1,0,NULL
"1123210","2018-02-24","India","South Africa","Newlands","South Africa","field","42","35",0,1,"46.67"
"682937","2014-03-27","Netherlands","South Africa","Zahur Ahmed Chowdhury Stadium","Netherlands","field","63","25",1,1,NULL
"1199519","2019-10-22","United Arab Emirates","Jersey","Tolerance Oval","Jersey","bat","42","38",0,1,NULL
"1197246","2019-09-19","South Korea","Japan","Yeonhui Cricket Ground","South Korea","field","24","31",1,1,NULL
"682939","2014-03-27","England","Sri Lanka","Zahur Ahmed Chowdhury Stadium","England","field","44","46",0,0,"25.00"
"1182642","2019-05-05","Zimbabwe","Mozambique","Old Hararians","Zimbabwe","bat","61","36",1,1,NULL
"1117822","2017-09-13","Pakistan","ICC World XI","Gaddafi Stadium","Pakistan","bat","45","40",0,0,"100.00"
"1188784","2019-06-19","Rwanda","Uganda","Gahanga International Cricket Stadium. Rwanda","Uganda","bat","16","32",0,1,NULL
"1186493","2019-06-29","Maldives","Thailand","Kinrara Academy Oval","Thailand","field","64","31",1,0,"0.00"
"533308","2012-09-30","Sri Lanka","New Zealand","Galle International Stadium","Sri Lanka","bat","36","2",0,0,"60.00"
"584923","2012-10-28","Bangladesh","Sri Lanka","Guanggong International Cricket Stadium","Sri Lanka","field","14","4",0,1,"100.00"
"1233955","2020-11-29","New Zealand","West Indies","Bay Oval","West Indies","field","53","70",0,1,"55.00"
"682965","2014-04-06","India","Sri Lanka","Shere Bangla National Stadium","Sri Lanka","field","37","19",1,0,"57.14"
"1188622","2019-08-04","India","West Indies","Central Broward Regional Park Stadium Turf Ground","India","bat","55","37",1,1,"50.00"
"1072319","2018-02-13","New Zealand","England","Westpac Stadium","England","field","52","42",0,1,"64.71"
"1007657","2016-06-20","Zimbabwe","India","Harare Sports Club","Zimbabwe","bat","32","18",0,0,"60.00"
"1197524","2019-10-07","Nepal","Netherlands","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Nepal","field","45","24",0,0,"0.00"
"533305","2012-09-29","Australia","Pakistan","Galle International Stadium","Australia","bat","33","28",1,1,"50.00"
"1173057","2020-02-27","Australia","Bangladesh","Manuka Oval","Australia","bat","46","47",1,1,"50.00"
"1182904","2019-05-06","Vanuatu","Papua New Guinea","Ground 1, Independence Park","Papua New Guinea","bat","30","36",0,1,"100.00"
"356003","2009-06-11","Ireland","New Zealand","Trent Bridge","Ireland","field","42","44",1,1,NULL
"423787","2010-02-26","New Zealand","Australia","Westpac Stadium","New Zealand","bat","32","14",0,0,"33.33"
"802327","2014-11-24","Hong Kong","Nepal","P Sara Oval","Hong Kong","field","12","36",0,0,"100.00"
"1119544","2018-07-06","India","England","Sophia Gardens","England","field","35","47",1,0,"40.00"
"1150546","2018-11-15","New Zealand","Pakistan","Providence Stadium","Pakistan","field","42","41",0,1,"61.54"
"533286","2012-09-28","Pakistan","South Africa","R Premadasa Stadium","South Africa","bat","28","40",1,0,"50.00"
"426724","2009-11-13","New Zealand","Pakistan","Dubai International Cricket Stadium","Pakistan","bat","45","31",0,1,"33.33"
"1140384","2018-10-27","England","Sri Lanka","R.Premadasa Stadium, Khettarama","Sri Lanka","field","46","35",0,1,"33.33"
"1197064","2019-09-07","Namibia","United States of America","Lochlands","United States of America","field","40","15",1,0,NULL
"1197406","2019-08-25","Canada","United States of America","White Hill Field, Sandys Parish","United States of America","field","41","38",0,1,"0.00"
"1208808","2019-12-05","Bangladesh","Maldives","Pokhara Rangasala","Bangladesh","bat","71","70",1,1,NULL
"808869","2015-01-16","Pakistan","Sri Lanka","Sharjah Cricket Stadium","Pakistan","bat","37","40",1,1,"30.77"
"1190751","2019-08-12","Netherlands","Ireland","Sportpark Het Schootsveld","Ireland","bat","70","46",0,1,"77.78"
"798377","2015-08-26","England","Australia","County Ground","England","field","33","28",0,0,"63.64"
"958417","2016-01-17","Bangladesh","Zimbabwe","Sheikh Abu Naser Stadium","Bangladesh","bat","50","39",1,1,"0.00"
"966749","2016-02-26","Bangladesh","United Arab Emirates","Shere Bangla National Stadium","United Arab Emirates","field","50","32",0,1,NULL
"1086069","2017-11-21","Australia","England","Manuka Oval","Australia","bat","47","51",0,0,"41.38"
"907395","2016-03-04","South Africa","West Indies","Kingsmead","South Africa","bat","39","26",1,1,"38.46"
"1182917","2019-05-10","Vanuatu","Japan","Ground 2, Independence Park","Japan","bat","35","29",1,0,NULL
"1197526","2019-10-09","Ireland","Nepal","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Ireland","bat","57","29",1,1,"100.00"
"817203","2015-07-05","Bangladesh","South Africa","Shere Bangla National Stadium","South Africa","bat","43","39",0,1,"50.00"
