match_id,match_type,date,team1,team2,venue,toss_winner,toss_decision
1279382,,2021-10-06,Estonia,Isle of Man,Happy Valley Ground,Estonia,bat
1279383,,2021-10-07,Cyprus,Isle of Man,Happy Valley Ground,Isle of Man,field
1279385,,2021-10-08,Cyprus,Estonia,Happy Valley Ground,Cyprus,bat
1279386,,2021-10-08,Estonia,Isle of Man,Happy Valley Ground,Isle of Man,field
1280058,,2021-10-09,Scotland,Namibia,"ICC Academy, Dubai",Namibia,field
1280059,,2021-10-10,Namibia,Papua New Guinea,"ICC Academy, Dubai",Papua New Guinea,field
1280060,,2021-10-07,United Arab Emirates,Ireland,"ICC Academy, Dubai",United Arab Emirates,bat
1280061,,2021-10-08,United Arab Emirates,Ireland,"ICC Academy, Dubai",Ireland,field
1280062,,2021-10-10,Ireland,United Arab Emirates,"ICC Academy, Dubai",United Arab Emirates,field
1280063,,2021-10-08,Papua New Guinea,Scotland,"ICC Academy, Dubai",Papua New Guinea,bat
1282272,,2021-10-21,Malta,Gibraltar,Marsa Sports Club,Malta,bat
1282273,,2021-10-22,Gibraltar,Switzerland,Marsa Sports Club,Gibraltar,bat
1282275,,2021-10-22,Bulgaria,Switzerland,Marsa Sports Club,Bulgaria,bat
1282276,,2021-10-23,Switzerland,Malta,Marsa Sports Club,Switzerland,bat
1282278,,2021-10-24,Gibraltar,Bulgaria,Marsa Sports Club,Gibraltar,bat
1282279,,2021-10-24,Malta,Switzerland,Marsa Sports Club,Malta,bat
1282738,,2021-10-15,Jersey,Germany,"Desert Springs Cricket Ground, Almeria",Germany,field
1282739,,2021-10-15,Denmark,Italy,"Desert Springs Cricket Ground, Almeria",Denmark,bat
1282740,,2021-10-16,Denmark,Germany,"Desert Springs Cricket Ground, Almeria",Denmark,bat
1282741,,2021-10-16,Jersey,Italy,"Desert Springs Cricket Ground, Almeria",Jersey,bat
